Latitude,Longitude,Timestamp,Magnitude
36.161,-106.227,7/6/1976 12:48,2.1
33.023,-102.2875,7/28/1976 12:21,2
30.86516667,-101.7268333,8/5/1976 22:23,2.1
31.78,-102.59,8/6/1976 21:12,2.1
31.76583333,-102.0295,8/10/1976 9:03,1.6
31.79483333,-102.0608333,8/10/1976 10:15,2
30.12183333,-105.272,8/15/1976 19:12,2.5
31.54683333,-101.9383333,8/25/1976 1:27,2.3
31.8385,-102.0073333,8/26/1976 15:22,1.9
30.09916667,-105.1761667,8/29/1976 19:49,2.1
31.565,-101.9818333,8/30/1976 11:51,1.8
32.67533333,-106.088,8/30/1976 13:07,2.5
31.46166667,-102.1813333,8/31/1976 12:45,2.2
31.55,-103.48,9/3/1976 21:00,2
32.2275,-102.7438333,9/5/1976 10:39,1.4
35.4,-107.25,9/12/1976 18:59,1.9
32.235,-103.056,9/17/1976 2:47,2.8
31.442,-102.5246667,9/17/1976 3:56,2.9
30.4725,-104.5743333,9/19/1976 10:40,3
35.033,-106.883,10/8/1976 15:44,1.8
36.633,-106.667,10/8/1976 19:29,1.6
36.599,-106.645,10/8/1976 19:33,1.4
31.5475,-102.1563333,10/22/1976 5:06,2.2
31.61883333,-102.3808333,10/23/1976 12:51,1.8
31.8405,-102.5251667,10/25/1976 0:27,2.3
31.33,-103.28,10/26/1976 10:44,2.4
30.9155,-102.2656667,11/3/1976 23:24,1.9
36.709,-106.721,12/10/1976 14:42,1.5
31.56816667,-102.4636667,12/12/1976 23:00,2.8
31.60783333,-102.4948333,12/12/1976 23:25,1.9
31.591,-102.2175,12/15/1976 8:51,1.4
36.011,-106.136,12/17/1976 10:41,1.5
31.62,-103.02,12/18/1976 18:27,1.8
31.8715,-102.4548333,12/19/1976 21:26,2.2
32.2535,-103.138,12/19/1976 23:54,1.8
32.26733333,-103.0845,12/19/1976 23:56,2.7
34.71733333,-105.8336667,12/23/1976 8:36,2.7
34.35,-106.8333333,12/26/1976 0:00,1.6
36.674,-106.685,12/31/1976 7:53,2.2
36.45,-105.333,1/3/1977 1:02,1.6
32.44316667,-106.8143333,1/4/1977 18:31,2.8
33.959,-105.9815,1/4/1977 23:41,2.8
34.0325,-105.983,1/5/1977 12:19,2.5
35.961,-106.188,1/9/1977 13:03,1.4
34.00316667,-105.9926667,1/11/1977 4:59,1.6
36.272,-106.295,1/20/1977 23:26,1.5
34.1,-107.019,1/21/1977 16:34,1.8
30.5835,-104.5898333,1/29/1977 9:40,2.2
30.58633333,-104.7003333,2/4/1977 7:48,2
32.24283333,-103.048,2/18/1977 14:10,1.5
35.7825,-108.1381667,3/5/1977 3:00,4.4
31.16233333,-102.6578333,3/5/1977 22:56,1.7
33.04033333,-101.0108333,3/14/1977 10:10,2.7
32.20716667,-103.1015,3/20/1977 7:54,2
31.6045,-103.2826667,3/29/1977 0:35,1.4
31.49,-103.17,4/3/1977 13:48,1.9
31.46966667,-103.1975,4/3/1977 14:24,1.6
36.14,-106.22,4/3/1977 19:26,2.4
31.00066667,-103.3563333,4/4/1977 4:47,1.8
32.18766667,-103.0538333,4/7/1977 5:45,2.7
31.3185,-102.6963333,4/7/1977 18:56,1.7
31.354,-102.9395,4/7/1977 22:32,2
36.759,-106.435,4/9/1977 11:08,1.4
