OID_,Field1,Longitude,Latitude,GeothermGrad,Kriging_Predicted_Gradient
373,372,-107.3046938,33.4144018,44.2249985,47.1551781
374,373,-107.1322934,34.0717865,41.1699371,36.9907417
375,374,-107.061791,34.0137882,31.1565247,37.5760384
376,375,-106.6172643,31.8334468,102.3333359,90.8503189
377,376,-106.7505708,32.2834339,205.0477753,236.4053802
378,377,-106.9005733,32.0168405,66.4245071,59.5976715
379,378,-107.2505983,34.2833809,56.4333344,55.0373383
380,379,-107.3146842,31.9128415,53.9236755,61.8510017
381,380,-107.4027886,32.2255325,87.3740234,80.2893143
382,381,-108.6278285,33.0777039,50.7333336,48.576252
383,382,-106.6672659,31.8668457,90.6194382,89.1456833
384,383,-107.00058,32.6334234,86.7284622,71.9885635
385,384,-107.1923876,32.9726136,43.7585754,41.3495827
386,385,-108.8546264,31.8637355,59.4101219,55.6134529
387,386,-108.9339303,32.1168281,72.8705673,199.8521729
388,387,-106.8207864,34.3435815,40.976635,50.1210213
389,388,-108.7806249,31.9538334,47.735321,53.1228104
390,389,-108.8516282,32.1505276,420.2784424,378.1321716
391,390,-107.3866882,32.2206327,86.2891464,82.9648285
392,391,-106.9838749,31.9001434,56.1700821,55.7848854
393,392,-107.7873109,33.9117871,77.4250031,77.0688858
394,393,-108.1039412,32.1884635,45.7166672,47.39888
395,394,-108.7606411,34.2900731,34.4666672,35.3227463
396,395,-108.1006231,34.3700746,41.2583313,44.588665
397,396,-107.3381988,34.008987,67.911644,73.989418
398,397,-107.6722941,31.9101399,52.9000015,57.2362556
399,398,-108.2063112,32.2685275,49.450264,46.5128441
400,399,-107.2786963,33.8861902,61.1500015,61.852417
401,400,-108.3756133,31.8751375,42.9330444,46.8532677
402,401,-107.2407837,32.1535352,95.7992783,82.7976685
403,402,-106.8906825,33.4745023,49.9975891,46.2188797
404,403,-106.9582925,34.6517737,31.1166668,33.4190865
405,404,-107.1984938,33.8622912,54.9791107,51.5223274
406,405,-106.7591772,33.2389088,37.4500008,38.4298859
407,406,-108.5006248,33.0501052,42.3306923,47.3782806
408,407,-107.4293967,33.3290034,33.3322754,49.7688904
409,408,-106.9372877,34.0567878,123.2645187,108.7136002
410,409,-107.0072896,34.0433878,37.2619324,45.7940598
411,410,-107.9614065,32.5731205,60.6583328,59.6759796
412,411,-106.9172872,34.0667876,116.8187485,112.3283081
413,412,-107.5856062,34.0650844,97.2222824,95.5750656
414,413,-106.6838696,32.3834315,143.0279999,216.565918
415,414,-106.6505681,32.3001339,254.4972687,240.447525
416,415,-106.51578,34.6741753,29.1833324,34.8073196
417,416,-107.0505837,32.983414,37.0871201,41.8991928
